Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
1,"-----","-----","-----"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"0.0000","0.5879","0.0000","0.0000"
"0.0200","0.6403","0.0000","0.0000"
"0.0400","2.5158","0.0004","0.0000"
"0.0600","13.8735","0.0016","0.0000"
"0.0800","43.8488","0.0043","0.0000"
"0.1000","73.8641","0.0067","0.0000"
"0.1200","99.7503","0.0087","0.0000"
"0.1400","135.8521","0.0117","0.0000"
"0.1600","187.4946","0.0160","0.0000"
"0.1800","248.4254","0.0212","0.0000"
"0.2000","310.4880","0.0266","0.0000"
"0.2200","366.8188","0.0316","0.0000"
"0.2400","413.9398","0.0362","0.0000"
"0.2600","455.3800","0.0404","0.0000"
"0.2800","494.5667","0.0445","0.0000"
"0.3000","532.4494","0.0484","0.0000"
"0.3200","568.5659","0.0523","0.0000"
"0.3400","600.8396","0.0563","0.0000"
"0.3600","632.8279","0.0604","0.0000"
"0.3800","665.5317","0.0644","0.0000"
"0.4000","697.1202","0.0685","0.0000"
"0.4200","727.1716","0.0725","0.0000"
"0.4400","756.2319","0.0765","0.0000"
"0.4600","783.7919","0.0805","0.0000"
"0.4800","810.9529","0.0844","0.0000"
"0.5000","838.6639","0.0885","0.0000"
"0.5200","865.2291","0.0926","0.0000"
"0.5400","889.5421","0.0966","0.0000"
"0.5600","911.1127","0.1005","0.0000"
"0.5800","929.1602","0.1045","0.0000"
"0.6000","946.3561","0.1084","0.0000"
"0.6200","965.2554","0.1124","0.0000"
"0.6400","984.6632","0.1164","0.0000"
"0.6600","1003.3564","0.1205","0.0000"
"0.6800","1019.5019","0.1245","0.0000"
"0.7000","1033.2517","0.1284","0.0000"
"0.7200","1047.6720","0.1324","0.0000"
"0.7400","1063.2681","0.1364","0.0000"
"0.7600","1078.8063","0.1404","0.0000"
"0.7800","1094.4969","0.1444","0.0000"
"0.8000","1110.2288","0.1485","0.0000"
"0.8200","1126.1554","0.1525","0.0000"
"0.8400","1141.9701","0.1566","0.0000"
"0.8600","1156.9757","0.1605","0.0000"
"0.8800","1171.4650","0.1644","0.0000"
"0.9000","1185.7421","0.1684","0.0000"
"0.9200","1199.7734","0.1723","0.0000"
"0.9400","1213.7844","0.1763","0.0000"
"0.9600","1227.3320","0.1804","0.0000"
"0.9800","1240.0891","0.1845","0.0000"
"1.0000","1253.8965","0.1885","0.0000"
"1.0200","1270.5934","0.1925","0.0000"
"1.0400","1289.0212","0.1965","0.0000"
"1.0600","1308.3362","0.2005","0.0000"
"1.0800","1327.1053","0.2045","0.0000"
"1.1000","1343.7975","0.2084","0.0000"
"1.1200","1359.3523","0.2124","0.0000"
"1.1400","1374.4576","0.2164","0.0000"
"1.1600","1389.3815","0.2204","0.0000"
"1.1800","1403.5852","0.2244","0.0000"
"1.2000","1416.3247","0.2284","0.0000"
"1.2200","1429.8092","0.2323","0.0000"
"1.2400","1445.9037","0.2364","0.0000"
"1.2600","1463.3896","0.2405","0.0000"
"1.2800","1480.9897","0.2445","0.0000"
"1.3000","1498.3076","0.2486","0.0000"
"1.3200","1514.8319","0.2525","0.0000"
"1.3400","1531.0238","0.2565","0.0000"
"1.3600","1547.4406","0.2605","0.0000"
"1.3800","1563.9294","0.2645","0.0000"
"1.4000","1580.4081","0.2685","0.0000"
"1.4200","1596.7699","0.2725","0.0000"
"1.4400","1612.3148","0.2765","0.0000"
"1.4600","1627.6230","0.2804","0.0000"
"1.4800","1643.2257","0.2844","0.0000"
"1.5000","1658.7550","0.2884","0.0000"
"1.5200","1674.6699","0.2924","0.0000"
"1.5400","1690.7631","0.2964","0.0000"
"1.5600","1706.1969","0.3005","0.0000"
"1.5800","1721.4773","0.3045","0.0000"
"1.6000","1736.4559","0.3085","0.0000"
"1.6200","1750.8387","0.3125","0.0000"
"1.6400","1765.6138","0.3164","0.0000"
"1.6600","1780.3199","0.3204","0.0000"
"1.6800","1794.4036","0.3244","0.0000"
"1.7000","1808.6134","0.3285","0.0000"
"1.7200","1822.5558","0.3325","0.0000"
"1.7400","1836.1162","0.3365","0.0000"
"1.7600","1849.8364","0.3405","0.0000"
"1.7800","1863.4332","0.3444","0.0000"
"1.8000","1876.9377","0.3483","0.0000"
"1.8200","1891.1664","0.3523","0.0000"
"1.8400","1905.4415","0.3564","0.0000"
"1.8600","1919.9252","0.3605","0.0000"
"1.8800","1934.3472","0.3645","0.0000"
"1.9000","1948.1340","0.3686","0.0000"
"1.9200","1961.8254","0.3725","0.0000"
"1.9400","1975.5931","0.3765","0.0000"
"1.9600","1989.1664","0.3805","0.0000"
"1.9800","2003.0146","0.3845","0.0000"
"2.0000","2016.7792","0.3886","0.0000"
"2.0200","2029.9368","0.3926","0.0000"
"2.0400","2043.0939","0.3965","0.0000"
"2.0600","2056.1064","0.4005","0.0000"
"2.0800","2068.9287","0.4044","0.0000"
"2.1000","2082.1926","0.4084","0.0000"
"2.1200","2095.3884","0.4124","0.0000"
"2.1400","2108.2085","0.4164","0.0000"
"2.1600","2121.5083","0.4204","0.0000"
"2.1800","2134.4561","0.4244","0.0000"
"2.2000","2146.9307","0.4283","0.0000"
"2.2200","2159.8293","0.4324","0.0000"
"2.2400","2172.5142","0.4364","0.0000"
"2.2600","2185.0708","0.4404","0.0000"
"2.2800","2197.8870","0.4445","0.0000"
"2.3000","2210.2537","0.4486","0.0000"
"2.3200","2222.4521","0.4526","0.0000"
"2.3400","2234.5989","0.4566","0.0000"
"2.3600","2246.2427","0.4606","0.0000"
"2.3800","2257.7827","0.4645","0.0000"
"2.4000","2269.5127","0.4684","0.0000"
"2.4200","2281.0881","0.4724","0.0000"
"2.4400","2293.0854","0.4764","0.0000"
"2.4600","2304.9812","0.4805","0.0000"
"2.4800","2316.3936","0.4845","0.0000"
"2.5000","2327.6013","0.4885","0.0000"
"2.5200","2338.5898","0.4925","0.0000"
"2.5400","2349.3777","0.4965","0.0000"
"2.5600","2360.2004","0.5005","0.0000"
"2.5800","2371.0266","0.5045","0.0000"
"2.6000","2381.7676","0.5085","0.0000"
"2.6200","2392.7568","0.5126","0.0000"
"2.6400","2403.2024","0.5166","0.0000"
"2.6600","2413.0171","0.5205","0.0000"
"2.6800","2423.0576","0.5245","0.0000"
"2.7000","2433.0398","0.5285","0.0000"
"2.7200","2443.2065","0.5324","0.0000"
"2.7400","2454.0154","0.5365","0.0000"
"2.7600","2464.4199","0.5405","0.0000"
"2.7800","2474.5430","0.5445","0.0000"
"2.8000","2484.5706","0.5485","0.0000"
"2.8200","2494.0784","0.5525","0.0000"
"2.8400","2503.5725","0.5565","0.0000"
"2.8600","2513.4326","0.5605","0.0000"
"2.8800","2522.8833","0.5645","0.0000"
"2.9000","2532.4814","0.5685","0.0000"
"2.9200","2542.0244","0.5726","0.0000"
"2.9400","2551.1902","0.5766","0.0000"
"2.9600","2560.2070","0.5806","0.0000"
"2.9800","2568.9460","0.5845","0.0000"
"3.0000","2577.3120","0.5885","0.0000"
"3.0200","2585.9236","0.5924","0.0000"
"3.0400","2594.5317","0.5964","0.0000"
"3.0600","2602.8896","0.6004","0.0000"
"3.0800","2611.4980","0.6044","0.0000"
"3.1000","2619.8032","0.6084","0.0000"
"3.1200","2628.0828","0.6123","0.0000"
"3.1400","2636.7920","0.6164","0.0000"
"3.1600","2645.0334","0.6204","0.0000"
"3.1800","2653.1423","0.6244","0.0000"
"3.2000","2661.5012","0.6285","0.0000"
"3.2200","2669.4260","0.6326","0.0000"
"3.2400","2677.1602","0.6366","0.0000"
"3.2600","2684.6118","0.6406","0.0000"
"3.2800","2691.2485","0.6445","0.0000"
"3.3000","2698.3169","0.6484","0.0000"
"3.3200","2705.9790","0.6524","0.0000"
"3.3400","2713.4082","0.6564","0.0000"
"3.3600","2721.2612","0.6604","0.0000"
"3.3800","2728.9514","0.6645","0.0000"
"3.4000","2735.8196","0.6686","0.0000"
"3.4200","2742.5447","0.6726","0.0000"
"3.4400","2749.0706","0.6765","0.0000"
"3.4600","2755.3694","0.6805","0.0000"
"3.4800","2762.0659","0.6844","0.0000"
"3.5000","2768.9253","0.6885","0.0000"
"3.5200","2775.7109","0.6925","0.0000"
"3.5400","2782.6228","0.6965","0.0000"
"3.5600","2789.1421","0.7005","0.0000"
"3.5800","2795.3745","0.7045","0.0000"
"3.6000","2801.6970","0.7085","0.0000"
"3.6200","2807.6765","0.7125","0.0000"
"3.6400","2813.8828","0.7164","0.0000"
"3.6600","2820.3516","0.7205","0.0000"
"3.6800","2826.4370","0.7245","0.0000"
"3.7000","2832.5493","0.7285","0.0000"
"3.7200","2838.5908","0.7325","0.0000"
"3.7400","2844.2605","0.7364","0.0000"
"3.7600","2850.1907","0.7404","0.0000"
"3.7800","2856.4690","0.7445","0.0000"
"3.8000","2862.3708","0.7485","0.0000"
"3.8200","2868.6348","0.7526","0.0000"
"3.8400","2874.7795","0.7566","0.0000"
"3.8600","2879.9902","0.7606","0.0000"
"3.8800","2885.2183","0.7646","0.0000"
"3.9000","2890.3176","0.7685","0.0000"
"3.9200","2895.1882","0.7724","0.0000"
"3.9400","2900.4446","0.7764","0.0000"
"3.9600","2905.8167","0.7804","0.0000"
"3.9800","2911.1589","0.7844","0.0000"
"4.0000","2916.8247","0.7884","0.0000"
"4.0200","2922.2197","0.7924","0.0000"
"4.0400","2927.3547","0.7965","0.0000"
"4.0600","2932.5715","0.8005","0.0000"
"4.0800","2937.4209","0.8045","0.0000"
"4.1000","2942.5537","0.8085","0.0000"
"4.1200","2947.8533","0.8125","0.0000"
"4.1400","2952.8291","0.8166","0.0000"
"4.1600","2957.5552","0.8206","0.0000"
"4.1800","2962.0315","0.8245","0.0000"
"4.2000","2966.0190","0.8284","0.0000"
"4.2200","2970.5283","0.8324","0.0000"
"4.2400","2975.7126","0.8364","0.0000"
"4.2600","2980.7136","0.8404","0.0000"
"4.2800","2986.1768","0.8445","0.0000"
"4.3000","2991.3896","0.8485","0.0000"
"4.3200","2995.7620","0.8525","0.0000"
"4.3400","3000.1880","0.8566","0.0000"
"4.3600","3004.4253","0.8605","0.0000"
"4.3800","3008.4712","0.8645","0.0000"
"4.4000","3013.0227","0.8685","0.0000"
"4.4200","3017.6140","0.8726","0.0000"
"4.4400","3021.6230","0.8765","0.0000"
"4.4600","3025.6689","0.8805","0.0000"
"4.4800","3029.4099","0.8845","0.0000"
"4.5000","3033.1733","0.8884","0.0000"
"4.5200","3037.6226","0.8923","0.0000"
"4.5400","3042.1714","0.8963","0.0000"
"4.5600","3046.9133","0.9004","0.0000"
"4.5800","3052.0085","0.9045","0.0000"
"4.6000","3056.2676","0.9086","0.0000"
"4.6200","3060.1992","0.9126","0.0000"
"4.6400","3064.1113","0.9166","0.0000"
"4.6600","3067.7549","0.9205","0.0000"
"4.6800","3071.9749","0.9245","0.0000"
"4.7000","3076.4402","0.9286","0.0000"
"4.7200","3080.4473","0.9326","0.0000"
"4.7400","3084.5557","0.9366","0.0000"
"4.7600","3088.4705","0.9406","0.0000"
"4.7800","3091.8662","0.9446","0.0000"
"4.8000","3095.5137","0.9485","0.0000"
"4.8200","3099.1670","0.9524","0.0000"
"4.8400","3102.9365","0.9564","0.0000"
"4.8600","3107.3860","0.9604","0.0000"
"4.8800","3111.7300","0.9645","0.0000"
"4.9000","3115.7163","0.9685","0.0000"
"4.9200","3119.4453","0.9725","0.0000"
"4.9400","3122.8376","0.9765","0.0000"
"4.9600","3126.2371","0.9805","0.0000"
"4.9800","3130.2114","0.9845","0.0000"
"5.0000","3134.1921","0.9885","0.0000"
"5.0200","3138.2986","0.9926","0.0000"
"5.0400","3142.3572","0.9967","0.0000"
"5.0600","3145.4238","1.0006","0.0000"
"5.0800","3148.4944","1.0045","0.0000"
"5.1000","3151.7952","1.0084","0.0000"
"5.1200","3154.9670","1.0123","0.0000"
"5.1400","3158.8228","1.0162","0.0000"
"5.1600","3163.1638","1.0203","0.0000"
"5.1800","3167.2607","1.0243","0.0000"
"5.2000","3171.6011","1.0284","0.0000"
"5.2200","3175.5381","1.0325","0.0000"
"5.2400","3178.7810","1.0365","0.0000"
"5.2600","3182.1809","1.0405","0.0000"
"5.2800","3185.4324","1.0445","0.0000"
"5.3000","3188.7825","1.0485","0.0000"
"5.3200","3192.6182","1.0526","0.0000"
"5.3400","3195.9050","1.0566","0.0000"
"5.3600","3198.8259","1.0606","0.0000"
