Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
1,"0.15","0.31","5.82"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"0.0000","1.9614","0.2734","0.0000"
"0.0200","1.9891","0.2734","0.0000"
"0.0400","2.1381","0.2735","0.0000"
"0.0600","2.3281","0.2737","0.0000"
"0.0800","2.7996","0.2740","0.0000"
"0.1000","4.0007","0.2745","0.0000"
"0.1200","5.5816","0.2751","0.0000"
"0.1400","8.0448","0.2760","0.0000"
"0.1600","9.9481","0.2763","0.0000"
"0.1800","10.4186","0.2763","0.0000"
"0.2000","10.7713","0.2765","0.0000"
"0.2200","12.1582","0.2769","0.0000"
"0.2400","15.1604","0.2777","0.0000"
"0.2600","20.0164","0.2789","0.0000"
"0.2800","26.1903","0.2803","0.0000"
"0.3000","33.0928","0.2820","0.0000"
"0.3200","40.3892","0.2837","0.0000"
"0.3400","47.4143","0.2853","0.0000"
"0.3600","53.6311","0.2867","0.0000"
"0.3800","59.3148","0.2881","0.0000"
"0.4000","64.3415","0.2893","0.0000"
"0.4200","68.8999","0.2904","0.0000"
"0.4400","72.8832","0.2913","0.0000"
"0.4600","76.3581","0.2921","0.0000"
"0.4800","80.0525","0.2930","0.0000"
"0.5000","84.4115","0.2941","0.0000"
"0.5200","88.8935","0.2952","0.0000"
"0.5400","93.2679","0.2962","0.0000"
"0.5600","97.1168","0.2972","0.0000"
"0.5800","100.7343","0.2980","0.0000"
"0.6000","104.8282","0.2990","0.0000"
"0.6200","109.1999","0.3001","0.0000"
"0.6400","113.2927","0.3010","0.0000"
"0.6600","117.1088","0.3020","0.0000"
"0.6800","120.8050","0.3029","0.0000"
"0.7000","124.3590","0.3037","0.0000"
"0.7200","128.2461","0.3047","0.0000"
"0.7400","132.8571","0.3058","0.0000"
"0.7600","137.7501","0.3070","0.0000"
"0.7800","142.3252","0.3081","0.0000"
"0.8000","146.3492","0.3090","0.0000"
"0.8190","150.0598","0.3099","0.0000"
"0.8200","150.2639","0.3100","0.0000"
"0.8400","154.1594","0.3109","0.0000"
"0.8600","155.8514","0.3111","0.0000"
"0.8800","155.8902","0.3110","0.0000"
"0.9000","155.6511","0.3109","0.0000"
"0.9200","155.3760","0.3108","0.0000"
"0.9400","155.1920","0.3108","0.0000"
