Time,Force,Displacement,PIP count
(s),(N),(mm),
0.02,100.5,0.0201,1
0.04,101,0.0202,1
0.06,101.5,0.0203,1
0.08,102,0.0204,1
0.1,102.5,0.0205,1
0.12,103,0.0206,1
0.14,103.5,0.0207,1
0.16,104,0.0208,1
0.18,104.5,0.0209,1
0.2,105,0.021,1
0.22,105.5,0.0211,1
0.24,106,0.0212,1
0.26,106.5,0.0213,1
0.28,107,0.0214,1
0.3,107.5,0.0215,1
0.32,108,0.0216,1
0.34,108.5,0.0217,1
0.36,109,0.0218,1
0.38,109.5,0.0219,1
0.4,110,0.022,1
0.42,110.5,0.0221,1
0.44,111,0.0222,1
0.46,111.5,0.0223,1
0.48,112,0.0224,1
0.5,112.5,0.0225,1
0.52,113,0.0226,1
0.54,113.5,0.0227,1
0.56,114,0.0228,1
0.58,114.5,0.0229,1
0.6,115,0.023,1
0.62,115.5,0.0231,1
0.64,116,0.0232,1
0.66,116.5,0.0233,1
0.68,117,0.0234,1
0.7,117.5,0.0235,1
0.72,118,0.0236,1
0.74,118.5,0.0237,1
0.76,119,0.0238,1
0.78,119.5,0.0239,1
0.8,120,0.024,1
0.82,120.5,0.0241,1
0.84,121,0.0242,1
0.86,121.5,0.0243,1
0.88,122,0.0244,1
0.9,122.5,0.0245,1
0.92,123,0.0246,1
0.94,123.5,0.0247,1
0.96,124,0.0248,1
0.98,124.5,0.0249,1
1,125,0.025,1
1.02,125.5,0.0251,1
1.04,126,0.0252,1
1.06,126.5,0.0253,1
1.08,127,0.0254,1
1.1,127.5,0.0255,1
1.12,128,0.0256,1
1.14,128.5,0.0257,1
1.16,129,0.0258,1
1.18,129.5,0.0259,1
1.2,130,0.026,1
1.22,130.5,0.0261,1
1.24,131,0.0262,1
1.26,131.5,0.0263,1
1.28,132,0.0264,1
1.3,132.5,0.0265,1
1.32,133,0.0266,1
1.34,133.5,0.0267,1
1.36,134,0.0268,1
1.38,134.5,0.0269,1
1.4,135,0.027,1
1.42,135.5,0.0271,1
1.44,136,0.0272,1
1.46,136.5,0.0273,1
1.48,137,0.0274,1
1.5,137.5,0.0275,1
1.52,138,0.0276,1
1.54,138.5,0.0277,1
1.56,139,0.0278,1
1.58,139.5,0.0279,1
1.6,140,0.028,1
1.62,140.5,0.0281,1
1.64,141,0.0282,1
1.66,141.5,0.0283,1
1.68,142,0.0284,1
1.7,142.5,0.0285,1
1.72,143,0.0286,1
1.74,143.5,0.0287,1
1.76,144,0.0288,1
1.78,144.5,0.0289,1
1.8,145,0.029,1
1.82,145.5,0.0291,1
1.84,146,0.0292,1
1.86,146.5,0.0293,1
1.88,147,0.0294,1
1.9,147.5,0.0295,1
1.92,148,0.0296,1
1.94,148.5,0.0297,1
1.96,149,0.0298,1
1.98,149.5,0.0299,1
2,150,0.03,1
2.02,150.5,0.0301,1
2.04,151,0.0302,1
