Time,Force,Displacement,PIP count
(s),(N),(mm),
"0.0000","-47.1185","0.2422","0.0000"
"0.0200","-47.0810","0.2422","0.0000"
"0.0400","-47.0879","0.2423","0.0000"
"0.0600","-46.6715","0.2425","0.0000"
"0.0800","-45.8167","0.2429","0.0000"
"0.1000","-44.3021","0.2435","0.0000"
"0.1200","-42.1124","0.2442","0.0000"
"0.1400","-39.3457","0.2449","0.0000"
"0.1600","-38.0915","0.2450","0.0000"
"0.1800","-37.6482","0.2451","0.0000"
"0.2000","-36.7120","0.2454","0.0000"
"0.2200","-34.4774","0.2460","0.0000"
"0.2400","-30.3518","0.2470","0.0000"
"0.2600","-24.6192","0.2484","0.0000"
"0.2800","-17.8013","0.2500","0.0000"
"0.3000","-10.8140","0.2516","0.0000"
"0.3200","-4.3658","0.2531","0.0000"
"0.3400","1.5178","0.2545","0.0000"
"0.3600","7.6262","0.2559","0.0000"
"0.3800","13.7335","0.2573","0.0000"
"0.4000","19.1311","0.2585","0.0000"
"0.4200","23.6116","0.2596","0.0000"
"0.4400","27.8397","0.2606","0.0000"
"0.4600","31.9639","0.2616","0.0000"
"0.4800","35.8982","0.2625","0.0000"
"0.5000","39.5349","0.2633","0.0000"
"0.5200","43.0485","0.2642","0.0000"
"0.5400","46.6078","0.2650","0.0000"
"0.5600","50.4766","0.2659","0.0000"
"0.5800","54.9428","0.2670","0.0000"
"0.6000","59.8221","0.2682","0.0000"
"0.6200","64.5041","0.2692","0.0000"
"0.6400","68.4752","0.2702","0.0000"
"0.6600","72.3033","0.2711","0.0000"
"0.6800","76.5746","0.2721","0.0000"
"0.7000","80.9235","0.2732","0.0000"
"0.7200","84.9474","0.2742","0.0000"
"0.7400","88.9696","0.2751","0.0000"
"0.7600","92.9095","0.2760","0.0000"
"0.7800","96.5354","0.2769","0.0000"
"0.8000","100.5814","0.2779","0.0000"
"0.8200","105.4212","0.2791","0.0000"
"0.8400","110.3537","0.2802","0.0000"
"0.8600","114.7787","0.2813","0.0000"
"0.8800","118.8106","0.2822","0.0000"
"0.9000","122.9523","0.2832","0.0000"
"0.9200","127.1385","0.2842","0.0000"
"0.9400","131.2680","0.2852","0.0000"
"0.9600","135.3795","0.2862","0.0000"
"0.9800","139.5957","0.2871","0.0000"
"1.0000","143.0635","0.2880","0.0000"
"1.0200","146.4142","0.2889","0.0000"
"1.0360","150.1950","0.2898","0.0000"
"1.0370","150.4563","0.2899","0.0000"
"1.0570","155.4708","0.2909","0.0000"
"1.0770","157.5559","0.2912","0.0000"
"1.0970","157.3917","0.2911","0.0000"
"1.1170","157.1971","0.2910","0.0000"
"1.1370","156.9832","0.2910","0.0000"
"1.1570","156.6856","0.2910","0.0000"
"1.1770","156.7435","0.2910","0.0000"
"1.1970","156.7858","0.2910","0.0000"
"1.2170","156.5907","0.2910","0.0000"
"1.2370","156.5270","0.2910","0.0000"
"1.2570","156.5666","0.2910","0.0000"
"1.2770","156.4835","0.2911","0.0000"
"1.2970","156.4515","0.2911","0.0000"
"1.3170","156.5170","0.2911","0.0000"
"1.3370","156.4016","0.2911","0.0000"
"1.3570","156.4177","0.2911","0.0000"
"1.3770","156.4414","0.2911","0.0000"
"1.3970","156.3094","0.2911","0.0000"
"1.4170","156.2289","0.2911","0.0000"
"1.4370","156.3375","0.2911","0.0000"
"1.4570","156.3368","0.2911","0.0000"
"1.4770","156.2016","0.2912","0.0000"
"1.4970","156.2847","0.2912","0.0000"
"1.5170","156.4980","0.2912","0.0000"
"1.5370","156.1004","0.2912","0.0000"
"1.5570","156.0904","0.2912","0.0000"
"1.5770","156.4432","0.2912","0.0000"
"1.5970","156.3484","0.2912","0.0000"
"1.6170","156.0648","0.2912","0.0000"
"1.6370","156.1850","0.2912","0.0000"
"1.6570","156.2683","0.2912","0.0000"
"1.6770","156.1566","0.2912","0.0000"
"1.6970","156.1765","0.2912","0.0000"
"1.7170","156.3698","0.2912","0.0000"
"1.7370","156.2054","0.2912","0.0000"
"1.7570","156.0540","0.2912","0.0000"
"1.7770","156.2288","0.2912","0.0000"
"1.7970","156.2173","0.2912","0.0000"
"1.8170","156.0473","0.2912","0.0000"
"1.8370","156.1377","0.2912","0.0000"
"1.8570","156.1760","0.2912","0.0000"
"1.8770","155.9797","0.2912","0.0000"
"1.8970","156.0861","0.2912","0.0000"
"1.9170","156.1024","0.2912","0.0000"
"1.9370","156.0161","0.2912","0.0000"
"1.9570","156.0549","0.2912","0.0000"
"1.9770","156.0889","0.2912","0.0000"
"1.9970","155.9020","0.2912","0.0000"
"2.0170","155.8900","0.2912","0.0000"
"2.0370","156.0625","0.2912","0.0000"
"2.0570","155.9809","0.2912","0.0000"
"2.0770","155.8010","0.2912","0.0000"
"2.0970","156.1339","0.2912","0.0000"
"2.1170","156.0902","0.2912","0.0000"
"2.1370","155.6423","0.2912","0.0000"
"2.1570","155.9373","0.2912","0.0000"
"2.1770","156.0868","0.2912","0.0000"
"2.1970","155.6595","0.2912","0.0000"
"2.2170","155.5684","0.2913","0.0000"
"2.2370","155.8198","0.2913","0.0000"
"2.2570","155.7195","0.2913","0.0000"
"2.2770","155.4136","0.2913","0.0000"
"2.2970","155.7369","0.2913","0.0000"
"2.3170","155.8649","0.2913","0.0000"
"2.3370","155.5686","0.2913","0.0000"
"2.3570","155.5531","0.2913","0.0000"
"2.3770","155.5850","0.2913","0.0000"
"2.3970","155.4386","0.2913","0.0000"
"2.4170","155.4718","0.2913","0.0000"
"2.4370","155.5645","0.2913","0.0000"
"2.4570","155.5145","0.2913","0.0000"
"2.4770","155.4703","0.2913","0.0000"
"2.4970","155.5542","0.2913","0.0000"
"2.5170","155.4111","0.2913","0.0000"
"2.5370","155.2803","0.2913","0.0000"
"2.5570","155.4975","0.2913","0.0000"
"2.5770","155.5892","0.2913","0.0000"
"2.5970","155.5108","0.2913","0.0000"
"2.6170","155.5849","0.2913","0.0000"
"2.6370","155.5936","0.2913","0.0000"
"2.6570","155.4226","0.2913","0.0000"
"2.6770","155.4124","0.2913","0.0000"
"2.6970","155.5836","0.2913","0.0000"
"2.7170","155.4978","0.2913","0.0000"
"2.7370","155.3508","0.2913","0.0000"
"2.7570","155.3920","0.2913","0.0000"
"2.7770","155.4106","0.2913","0.0000"
"2.7970","155.3436","0.2913","0.0000"
"2.8170","155.3414","0.2913","0.0000"
"2.8370","155.3333","0.2913","0.0000"
"2.8570","155.2824","0.2913","0.0000"
"2.8770","155.2728","0.2913","0.0000"
"2.8970","155.2667","0.2913","0.0000"
"2.9170","155.2517","0.2913","0.0000"
"2.9370","155.2455","0.2913","0.0000"
"2.9570","155.2560","0.2913","0.0000"
"2.9770","155.2702","0.2913","0.0000"
"2.9970","155.2548","0.2913","0.0000"
"3.0170","155.2059","0.2913","0.0000"
"3.0370","155.2020","0.2913","0.0000"
"3.0570","155.0977","0.2913","0.0000"
"3.0770","155.1432","0.2913","0.0000"
"3.0970","155.1761","0.2913","0.0000"
"3.1170","155.0594","0.2913","0.0000"
"3.1370","155.0410","0.2913","0.0000"
"3.1570","154.9004","0.2913","0.0000"
"3.1770","154.7852","0.2913","0.0000"
"3.1970","154.8475","0.2913","0.0000"
"3.2170","154.8434","0.2913","0.0000"
"3.2370","154.8214","0.2913","0.0000"
"3.2570","154.8117","0.2913","0.0000"
"3.2770","154.7738","0.2913","0.0000"
"3.2970","154.7552","0.2913","0.0000"
"3.3170","154.8021","0.2913","0.0000"
"3.3370","154.8608","0.2913","0.0000"
"3.3570","154.8547","0.2913","0.0000"
"3.3770","154.8773","0.2913","0.0000"
"3.3970","154.9729","0.2913","0.0000"
"3.4170","154.8340","0.2913","0.0000"
"3.4370","154.7948","0.2913","0.0000"
"3.4570","154.8378","0.2913","0.0000"
"3.4770","154.8246","0.2912","0.0000"
"3.4970","154.7397","0.2913","0.0000"
"3.5170","154.7885","0.2913","0.0000"
"3.5370","154.8679","0.2913","0.0000"
"3.5570","154.6644","0.2912","0.0000"
"3.5770","154.5835","0.2912","0.0000"
"3.5970","154.7822","0.2912","0.0000"
"3.6170","154.8870","0.2912","0.0000"
"3.6370","154.7426","0.2912","0.0000"
"3.6570","154.7383","0.2912","0.0000"
"3.6770","154.8756","0.2912","0.0000"
"3.6970","154.8900","0.2912","0.0000"
"3.7170","154.7999","0.2912","0.0000"
"3.7370","154.8744","0.2912","0.0000"
"3.7570","154.7174","0.2912","0.0000"
"3.7770","154.6270","0.2912","0.0000"
"3.7970","154.6953","0.2912","0.0000"
"3.8170","154.6011","0.2912","0.0000"
"3.8370","154.3001","0.2912","0.0000"
"3.8570","154.1985","0.2912","0.0000"
"3.8770","154.3386","0.2912","0.0000"
"3.8970","154.3268","0.2912","0.0000"
"3.9170","154.2803","0.2912","0.0000"
"3.9370","154.4107","0.2912","0.0000"
"3.9570","154.4167","0.2912","0.0000"
"3.9770","154.3791","0.2912","0.0000"
"3.9970","154.4764","0.2912","0.0000"
"4.0170","154.4796","0.2912","0.0000"
"4.0370","154.3942","0.2912","0.0000"
"4.0570","154.4272","0.2912","0.0000"
"4.0770","154.3963","0.2912","0.0000"
"4.0970","154.3112","0.2912","0.0000"
"4.1170","154.3699","0.2912","0.0000"
"4.1370","154.2596","0.2912","0.0000"
"4.1570","154.1921","0.2912","0.0000"
"4.1770","154.2423","0.2912","0.0000"
"4.1970","154.2377","0.2912","0.0000"
"4.2170","154.3516","0.2912","0.0000"
"4.2370","154.3427","0.2912","0.0000"
"4.2570","154.2065","0.2912","0.0000"
"4.2770","154.0446","0.2912","0.0000"
"4.2970","154.0706","0.2912","0.0000"
"4.3170","154.1244","0.2912","0.0000"
"4.3370","154.0677","0.2912","0.0000"
"4.3570","154.0569","0.2912","0.0000"
"4.3770","154.0605","0.2912","0.0000"
"4.3970","154.0337","0.2912","0.0000"
"4.4170","154.0510","0.2912","0.0000"
"4.4370","154.1584","0.2912","0.0000"
"4.4570","154.1933","0.2912","0.0000"
"4.4770","154.1705","0.2912","0.0000"
"4.4970","154.1001","0.2912","0.0000"
"4.5170","153.9658","0.2912","0.0000"
"4.5370","153.9839","0.2912","0.0000"
"4.5570","154.0739","0.2912","0.0000"
"4.5770","153.9876","0.2912","0.0000"
"4.5970","153.9220","0.2912","0.0000"
"4.6170","154.0526","0.2912","0.0000"
"4.6370","154.1564","0.2912","0.0000"
"4.6570","154.2265","0.2912","0.0000"
"4.6770","153.7049","0.2912","1.0000"
"4.6970","153.9822","0.2912","1.0000"
"4.7170","154.5123","0.2912","1.0000"
"4.7370","153.7672","0.2912","1.0000"
"4.7570","153.8009","0.2912","1.0000"
"4.7770","154.5093","0.2912","1.0000"
"4.7970","154.1224","0.2912","1.0000"
"4.8170","153.7224","0.2912","1.0000"
"4.8370","154.2171","0.2912","1.0000"
"4.8570","154.0209","0.2912","1.0000"
"4.8770","153.5694","0.2912","1.0000"
"4.8970","153.8953","0.2912","1.0000"
"4.9170","153.9791","0.2912","1.0000"
"4.9370","153.6562","0.2912","1.0000"
"4.9570","153.8982","0.2912","1.0000"
"4.9770","153.9648","0.2912","1.0000"
"4.9970","153.6979","0.2912","1.0000"
"5.0170","153.8684","0.2912","1.0000"
"5.0370","154.1134","0.2912","1.0000"
"5.0570","153.8644","0.2912","1.0000"
"5.0770","153.8114","0.2913","1.0000"
"5.0970","153.9684","0.2913","1.0000"
"5.1170","153.8222","0.2913","1.0000"
"5.1370","153.7594","0.2913","1.0000"
"5.1570","153.9738","0.2913","1.0000"
"5.1770","153.8488","0.2913","1.0000"
"5.1970","153.7181","0.2913","1.0000"
"5.2170","153.8402","0.2913","1.0000"
"5.2370","153.8637","0.2913","1.0000"
"5.2570","153.6800","0.2913","1.0000"
"5.2770","153.7223","0.2913","1.0000"
"5.2970","153.8172","0.2913","1.0000"
"5.3170","153.7878","0.2913","1.0000"
"5.3370","153.7239","0.2913","1.0000"
"5.3570","153.7611","0.2913","1.0000"
"5.3770","153.7812","0.2913","1.0000"
"5.3970","153.7556","0.2913","1.0000"
"5.4170","153.7330","0.2913","1.0000"
"5.4370","153.6831","0.2913","1.0000"
"5.4570","153.7609","0.2913","1.0000"
"5.4770","153.6924","0.2913","1.0000"
"5.4970","153.6240","0.2913","1.0000"
